date,sp_r,dj_r,new_cases,new_deaths,people_vaccinated_per_hundred,funds_er,walcl,lr_treasury_r,headline_nsr,abstract_nsr,lead_parag_nsr,body_nsr,tweet_nsr,gold_pr,usd_eur
2020-07-17,0.0028486395880045695,0.0034351028484878583,66472.0,915.0,0.0,0.09,6958604.0,-0.33,0.4090909090909091,0.3181818181818182,0.2272727272727272,0.8636363636363636,0.2717770034843205,1810.0,0.8748
2020-07-20,0.00840690538432679,0.008294357007019713,60663.0,529.0,0.0,0.09,6958604.0,-0.34,0.1739130434782608,0.2173913043478261,0.5217391304347826,1.0,0.3962655601659751,1817.4,0.8736
2020-07-21,0.0016790493997244748,0.002072301782191711,68194.0,1096.0,0.0,0.09,6958604.0,-0.37,-0.1034482758620689,-0.1034482758620689,0.3793103448275862,0.9310344827586208,0.296875,1843.9,0.8675
2020-07-22,0.0057470911491111654,0.005631172648934189,67546.0,1225.0,0.0,0.09,6964755.0,-0.37,0.1290322580645161,0.1290322580645161,0.4838709677419355,0.935483870967742,0.2133333333333333,1865.1,0.8642
2020-07-23,-0.012319827107282657,-0.011450569158969687,67887.0,1086.0,0.0,0.09,6964755.0,-0.39,0.0526315789473684,0.0526315789473684,0.631578947368421,0.7894736842105263,0.1713286713286713,1890.0,0.8623
2020-07-24,-0.006190390832163994,-0.007402997374684069,75147.0,1094.0,0.0,0.09,6964755.0,-0.41,0.2758620689655172,0.2413793103448276,0.3103448275862068,0.9310344827586208,0.1742160278745644,1897.5,0.858
2020-07-27,0.007395129414764679,0.008520747554806475,59724.0,1100.0,0.0,0.09,6964755.0,-0.4,0.2799999999999999,0.1999999999999999,0.52,0.96,0.177304964539007,1955.4,0.8509
2020-07-28,-0.006473401020556151,-0.0071488325187739205,64830.0,1222.0,0.0,0.09,6964755.0,-0.43,-0.0416666666666666,0.4166666666666667,0.3333333333333333,0.9583333333333334,0.2020905923344947,1963.9,0.8536
2020-07-29,0.01242838145188352,0.01380495644454829,64128.0,1440.0,0.0,0.09,6949032.0,-0.44,0.0434782608695652,0.3043478260869565,0.5652173913043479,0.826086956521739,0.2296819787985866,1976.7,0.8481
2020-07-30,-0.0037502608610255994,-0.0034615248149111183,69244.0,1289.0,0.0,0.09,6949032.0,-0.46,-0.0833333333333333,0.125,0.7083333333333334,0.875,0.1786941580756013,1966.8,0.8441
2020-07-31,0.007670459796316975,0.005488520573654542,64576.0,1183.0,0.0,0.09,6949032.0,-0.49,0.0833333333333333,0.4166666666666667,0.375,1.0,0.1859649122807017,1985.9,0.8489
2020-08-03,0.007181026681992784,0.008561148488467509,41686.0,559.0,0.0,0.1,6949032.0,-0.49,-0.0952380952380952,0.4761904761904762,0.6190476190476191,0.9047619047619048,0.2421052631578947,1986.3,0.8501
2020-08-04,0.003611960140957531,0.0037335137607118554,61658.0,1255.0,0.0,0.1,6949032.0,-0.51,0.2631578947368421,0.1052631578947368,0.0526315789473684,0.9473684210526316,0.1678321678321678,2021.0,0.8473
2020-08-05,0.006429740118735392,0.007496167877639981,54349.0,1408.0,0.0,0.1,6945237.0,-0.51,0.1052631578947368,0.4736842105263157,0.2105263157894736,0.7894736842105263,0.166077738515901,2049.3,0.8429
2020-08-06,0.006427727877828057,0.005018617166042163,60180.0,1181.0,0.0,0.1,6945237.0,-0.52,0.25,0.25,0.35,0.8,0.1573426573426573,2069.4,0.8419
2020-08-07,0.0006329945419150908,0.0010562673129180717,60587.0,1291.0,0.0,0.1,6945237.0,-0.48,0.0,0.391304347826087,0.4347826086956522,0.9565217391304348,0.2145328719723183,2028.0,0.8485
2020-08-10,0.0027422358024395454,0.0024363852243517144,51617.0,517.0,0.0,0.1,6945237.0,-0.47,0.0714285714285714,-0.0357142857142857,0.3928571428571428,0.9642857142857144,0.2411347517730496,2039.7,0.8519
2020-08-11,-0.007969123366671849,-0.007861154037017568,56956.0,1097.0,0.0,0.1,6945237.0,-0.43,0.1052631578947368,0.4210526315789474,0.5789473684210527,0.894736842105263,0.3354297693920335,1946.3,0.8517
2020-08-12,0.013996502374245911,0.013502137000319053,55245.0,1515.0,0.0,0.1,6957277.0,-0.41,-0.0909090909090908,0.0,0.1818181818181818,0.9090909090909092,0.2366412213740458,1949.0,0.8486
2020-08-13,-0.0020471252976762976,-0.001296887788452276,51657.0,1038.0,0.0,0.1,6957277.0,-0.37,-0.0588235294117646,0.2941176470588235,0.5294117647058824,1.0,0.0871080139372822,1970.4,0.8465
2020-08-14,-0.00017193183199293516,-0.000399739355995554,70125.0,1309.0,0.0,0.1,6957277.0,-0.33,0.0869565217391304,0.0434782608695652,0.3913043478260869,0.8695652173913043,0.167235494880546,1949.8,0.8443
2020-08-17,0.0027098744385311746,0.004049560764772477,37849.0,469.0,0.0,0.1,6957277.0,-0.35,-0.0714285714285714,0.4285714285714285,0.2857142857142857,1.0,0.1578947368421052,1998.7,0.8424
2020-08-18,0.0023033775972135986,0.0013051402960690501,44902.0,1225.0,0.0,0.1,6957277.0,-0.42,0.0,0.1,0.3,1.0,0.2352941176470588,2013.1,0.8382
2020-08-19,-0.00440441562579291,-0.004302013985447957,45884.0,689.0,0.0,0.1,7010637.0,-0.4,0.1428571428571428,0.1904761904761904,0.380952380952381,1.0,0.1875,1970.3,0.8446
2020-08-20,0.0031586589033587597,0.002872465326608724,45131.0,1100.0,0.0,0.1,7010637.0,-0.37,0.1,0.4333333333333333,0.5333333333333333,0.9333333333333332,0.2431506849315068,1946.5,0.843
2020-08-21,0.0034411358997609325,0.0023969971531315154,47591.0,1092.0,0.0,0.1,7010637.0,-0.41,0.4285714285714285,0.6666666666666667,0.380952380952381,0.9047619047619048,0.2147887323943662,1947.0,0.8478
2020-08-24,0.01004368354743384,0.009580078796234773,33923.0,423.0,0.0,0.1,7010637.0,-0.43,0.2222222222222222,0.1481481481481481,0.5555555555555556,0.9629629629629628,0.0744680851063829,1939.2,0.8483
2020-08-25,0.0035963255694666974,0.0034450167545156036,42674.0,1226.0,0.0,0.1,7010637.0,-0.42,0.04,0.36,0.4399999999999999,1.0,0.1626297577854671,1923.1,0.8449
2020-08-26,0.010195666188487733,0.009274429082246929,42075.0,1157.0,0.0,0.1,6990418.0,-0.42,0.25,0.375,0.4583333333333333,0.9583333333333334,0.1626297577854671,1952.5,0.8452
2020-08-27,0.0016730243508407275,0.0021506348242405246,50518.0,1099.0,0.0,0.1,6990418.0,-0.35,0.1304347826086956,0.1739130434782609,0.6521739130434783,0.826086956521739,0.1862068965517241,1932.6,0.8459
2020-08-28,0.00673257665982696,0.006785863667162407,46471.0,928.0,0.0,0.1,6990418.0,-0.37,0.1785714285714286,0.1785714285714285,0.2142857142857143,0.9642857142857144,0.2195121951219512,1974.9,0.8399
2020-08-31,-0.002194976639177275,-0.001647237992855729,33363.0,485.0,0.0,0.1,6990418.0,-0.44,0.1333333333333333,0.3999999999999999,0.2666666666666666,1.0,0.2206896551724138,1978.6,0.8378
2020-09-01,0.007525047781482253,0.007815978885948994,41978.0,1062.0,0.0,0.09,6990418.0,-0.47,0.1666666666666666,0.0833333333333333,0.2916666666666667,0.75,0.0861618798955613,1978.9,0.8395
2020-09-02,0.015365857116527031,0.013740289797327783,39961.0,1059.0,0.0,0.09,7017492.0,-0.48,0.1785714285714285,0.3214285714285714,0.3928571428571428,0.8571428571428572,0.1972318339100346,1944.7,0.8435
2020-09-03,-0.0351258363959295,-0.0355694058206978,45141.0,1017.0,0.0,0.09,7017492.0,-0.47,0.0588235294117646,0.5882352941176471,0.2941176470588235,0.8823529411764706,0.1782945736434108,1937.8,0.8438
2020-09-04,-0.008132999137496863,-0.00825739978564631,48336.0,963.0,0.0,0.09,7017492.0,-0.41,0.0,0.2272727272727272,0.3636363636363636,0.8181818181818181,0.2077464788732394,1934.3,0.8446
2020-09-08,-0.02775637883138405,-0.028680817825283127,26747.0,465.0,0.0,0.09,7017492.0,-0.42,0.0,0.2499999999999999,0.5,0.7916666666666666,0.0984455958549223,1943.2,0.8493
2020-09-09,0.02014502497118706,0.020071164031793515,33638.0,1102.0,0.0,0.09,7010614.0,-0.42,-0.0384615384615384,0.1923076923076923,0.4230769230769231,0.6923076923076923,0.1994680851063829,1954.9,0.8472
2020-09-10,-0.017584790641843383,-0.01653559407251062,39448.0,906.0,0.0,0.09,7010614.0,-0.43,0.1379310344827586,0.1034482758620689,0.5517241379310345,1.0,0.0851063829787233,1964.3,0.8463
2020-09-11,0.000533063407592783,-0.00022852431015702322,44623.0,1148.0,0.0,0.09,7010614.0,-0.41,0.2692307692307693,0.2692307692307692,0.6153846153846154,0.7692307692307692,0.1328671328671328,1947.9,0.8441
2020-09-14,0.012741808516688317,0.015425382129320136,32565.0,419.0,0.0,0.09,7010614.0,-0.4,0.25,0.0,0.4499999999999999,0.8999999999999999,0.175438596491228,1963.7,0.843
2020-09-15,0.005219385613883641,0.005600918053939201,37178.0,1198.0,0.0,0.09,7010614.0,-0.41,-0.1578947368421052,0.2631578947368421,0.3157894736842105,0.894736842105263,0.1557093425605536,1966.2,0.8441
2020-09-16,-0.00461895801481831,-0.003404488547856597,38292.0,937.0,0.0,0.09,7064475.0,-0.4,0.1739130434782609,0.5217391304347827,0.608695652173913,1.0,0.1885813148788927,1970.5,0.8463
2020-09-17,-0.008412371621242292,-0.008552453717988755,45318.0,855.0,0.0,0.09,7064475.0,-0.4,0.1481481481481481,0.3333333333333333,0.7037037037037037,0.8888888888888888,0.134297520661157,1949.9,0.8439
2020-09-18,-0.011182570203842234,-0.009811835687370115,50186.0,956.0,0.0,0.09,7064475.0,-0.39,0.1111111111111111,0.6296296296296297,0.5925925925925926,1.0,0.2321899736147757,1962.1,0.8445
2020-09-21,-0.011571124305988563,-0.012166669664230623,32044.0,406.0,0.0,0.09,7064475.0,-0.38,0.16,0.2,0.48,0.96,0.1773049645390071,1910.6,0.8494
2020-09-22,0.010517942372282195,0.009880377676787481,38272.0,1026.0,0.0,0.09,7064475.0,-0.38,0.3333333333333333,0.1904761904761904,0.7142857142857143,0.9047619047619048,0.1197183098591549,1907.6,0.8541
2020-09-23,-0.02372141140135786,-0.024500802575808642,41119.0,1047.0,0.0,0.09,7093161.0,-0.38,0.0999999999999999,0.1333333333333333,0.3999999999999999,0.8666666666666667,0.1623036649214659,1868.4,0.8575
2020-09-24,0.0029874077827070403,0.002076602830469674,48881.0,895.0,0.0,0.09,7093161.0,-0.4,0.074074074074074,0.1481481481481481,0.5555555555555556,0.7407407407407407,0.215547703180212,1876.9,0.8569
2020-09-25,0.015976763311659276,0.0168474864373832,47137.0,909.0,0.0,0.09,7093161.0,-0.41,0.0454545454545454,0.5909090909090909,0.2727272727272727,1.0,0.1590106007067138,1866.3,0.8597
2020-09-28,0.016110548559024475,0.016966488946850287,37740.0,334.0,0.0,0.09,7093161.0,-0.42,0.0625,0.4375,0.5625,0.6875,0.0526315789473684,1882.3,0.8571
2020-09-29,-0.0048126268051080405,-0.004614323055242052,42034.0,895.0,0.0,0.09,7093161.0,-0.44,0.4,0.28,0.4399999999999999,0.88,0.1333333333333333,1903.2,0.8515
2020-09-30,0.00825370937229242,0.007678212967896654,38633.0,907.0,0.0,0.09,7056129.0,-0.4,-0.0606060606060606,0.2727272727272727,0.5757575757575757,0.696969696969697,0.1916376306620209,1895.5,0.8531
2020-10-01,0.0052928932500743925,0.007640403453878635,46246.0,897.0,0.0,0.09,7056129.0,-0.41,-0.0869565217391304,0.3478260869565217,0.3043478260869565,0.7391304347826086,0.2867132867132868,1916.3,0.8513
2020-10-02,-0.009577614765735952,-0.008229891960429114,53445.0,835.0,0.0,0.09,7056129.0,-0.41,0.2162162162162162,0.3783783783783784,0.5945945945945945,0.945945945945946,0.2395833333333333,1907.6,0.8534
2020-10-05,0.017972655760030053,0.018805894397871736,37358.0,470.0,0.0,0.09,7056129.0,-0.35,-0.074074074074074,0.2962962962962963,0.4074074074074074,0.7407407407407407,0.2178571428571428,1920.1,0.8484
2020-10-06,-0.013973478847620756,-0.012482202740312635,44546.0,696.0,0.0,0.09,7056129.0,-0.34,0.125,0.0833333333333333,0.3333333333333333,0.875,0.196551724137931,1908.8,0.8523
2020-10-07,0.01739676343436575,0.017759403226531186,49138.0,905.0,0.0,0.09,7074649.0,-0.32,0.2222222222222222,0.074074074074074,0.3703703703703703,1.0,0.1789473684210526,1890.8,0.8499
2020-10-08,0.008010083522448082,0.008182092944223245,57891.0,977.0,0.0,0.09,7074649.0,-0.37,0.125,0.2916666666666667,0.375,0.9166666666666669,0.3263888888888889,1895.1,0.8503
2020-10-09,0.008793587151092437,0.008601958525019963,55080.0,967.0,0.0,0.09,7074649.0,-0.37,-0.037037037037037,0.3703703703703703,0.3703703703703703,0.9629629629629628,0.1666666666666666,1926.2,0.8452
2020-10-13,-0.006306907889152335,-0.005305580922324747,50124.0,772.0,0.0,0.09,7074649.0,-0.41,0.1212121212121211,0.1818181818181818,0.303030303030303,0.7575757575757576,-0.0128865979381443,1894.6,0.8513
2020-10-14,-0.006623138843883496,-0.006442896619748136,58442.0,989.0,0.0,0.09,7151426.0,-0.41,0.217391304347826,0.2608695652173913,0.3913043478260869,0.9130434782608696,0.1639344262295081,1907.3,0.8513
2020-10-15,-0.0015278028589691564,-0.0005807298257140372,63537.0,828.0,0.0,0.09,7151426.0,-0.41,-0.0588235294117646,0.1764705882352941,0.0588235294117646,0.7647058823529411,0.0623376623376623,1908.9,0.8541
2020-10-16,0.00013492797142966231,-0.0005424971470686069,70175.0,926.0,0.0,0.09,7151426.0,-0.41,0.1764705882352941,0.088235294117647,0.411764705882353,0.9411764705882352,0.125,1906.4,0.8533
2020-10-19,-0.01632982280893616,-0.015302193146563923,67884.0,479.0,0.0,0.09,7151426.0,-0.38,-0.0689655172413793,0.1724137931034483,0.1724137931034483,1.0,0.1137931034482758,1911.7,0.8496
2020-10-20,0.004727276971741336,0.00373277807407515,61740.0,933.0,0.0,0.09,7151426.0,-0.35,-0.0454545454545454,0.2272727272727272,0.2727272727272727,0.8636363636363636,0.0240549828178694,1915.4,0.8458
2020-10-21,-0.0021956829851994546,-0.0032987379406073398,60706.0,1157.0,0.0,0.09,7177265.0,-0.34,0.0454545454545454,0.1818181818181818,0.3636363636363636,0.9090909090909092,0.1576923076923077,1929.5,0.8431
2020-10-22,0.005218945382994282,0.006343104467765336,79621.0,838.0,0.0,0.09,7177265.0,-0.32,0.1904761904761904,0.3333333333333333,0.6190476190476191,0.9047619047619048,0.2010443864229765,1904.6,0.846
2020-10-23,0.0034457896215133363,0.003870729701094624,81662.0,945.0,0.0,0.09,7177265.0,-0.34,-0.037037037037037,0.2962962962962963,0.4074074074074074,0.9259259259259258,0.1230366492146596,1905.2,0.843
2020-10-26,-0.01858953826264867,-0.01881875581307133,64564.0,514.0,0.0,0.09,7177265.0,-0.36,0.12,0.3999999999999999,0.36,0.8400000000000001,0.0921985815602837,1905.7,0.8468
2020-10-27,-0.0030256074002416853,-0.0034079668527970245,77224.0,1007.0,0.0,0.09,7177265.0,-0.38,0.3333333333333333,0.5,0.2916666666666666,0.9166666666666669,0.0035087719298245,1911.9,0.8477
2020-10-28,-0.03528790685054315,-0.033937293924741846,86476.0,1010.0,0.0,0.09,7146306.0,-0.38,-0.0526315789473684,0.2631578947368421,0.5263157894736842,0.7894736842105263,0.132404181184669,1879.2,0.8513
2020-10-29,0.011947307117329992,0.011404837678649452,91293.0,988.0,0.0,0.09,7146306.0,-0.34,-0.0399999999999999,0.32,0.3999999999999999,0.88,0.108843537414966,1868.0,0.8566
2020-10-30,-0.0121295062701844,-0.013519363794644967,99849.0,1055.0,0.0,0.09,7146306.0,-0.31,0.0416666666666666,0.4166666666666667,0.4583333333333333,0.7916666666666666,0.0714285714285714,1879.9,0.8586
2020-11-02,0.012318193494721569,0.012536849411125007,81808.0,554.0,0.0,0.09,7146306.0,-0.34,0.1428571428571428,0.4285714285714285,0.3214285714285714,0.8571428571428572,0.2266187050359712,1892.5,0.8591
2020-11-03,0.017799313644932112,0.019141150971823916,124767.0,1595.0,0.0,0.09,7146306.0,-0.33,0.0,0.04,0.48,0.76,0.1087719298245614,1910.4,0.8531
2020-11-04,0.02204703843094427,0.021006855613765037,100264.0,1108.0,0.0,0.09,7157479.0,-0.36,0.2666666666666666,0.2,0.5333333333333333,0.9333333333333332,0.1989247311827957,1896.2,0.853
2020-11-05,0.019460190971818808,0.02070056800287278,128081.0,1159.0,0.0,0.09,7157479.0,-0.38,0.1153846153846153,0.1923076923076923,0.6153846153846154,0.8461538461538463,0.074074074074074,1946.8,0.8453
2020-11-06,-0.00028771240154389424,-0.0005738656588810663,127058.0,1206.0,0.0,0.09,7157479.0,-0.32,-0.0625,0.1875,0.375,0.875,0.2606382978723404,1951.7,0.8421
2020-11-09,0.01169987234430563,0.010801526526984717,116956.0,758.0,0.0,0.09,7157479.0,-0.24,0.0499999999999999,0.2,0.5499999999999999,1.0,0.4019337016574585,1854.4,0.8465
